ID,avg_sent,median_sent,max_sent,std_sent,active_days_x,night_ratio,weekend_ratio,avg_msgs_per_day,unique_recipients
1,3.0,2.0,7,2.097617696340303,16,0.0625,0.2916666666666667,3.0,13
2,1.6666666666666667,2.0,2,0.5773502691896257,3,0.4,0.0,1.6666666666666667,2
3,4.655555555555556,4.0,13,2.732086131824977,90,0.0,0.0,4.655555555555556,43
4,3.0,2.0,8,2.9154759474226504,5,0.6666666666666666,0.0,3.0,11
6,1.0,1.0,1,0.0,3,0.0,0.0,1.0,3
10,1.8333333333333333,1.0,6,1.3394467690277296,18,0.3333333333333333,0.18181818181818182,1.8333333333333333,9
12,3.6507936507936507,3.0,15,2.9191179078548775,63,0.0,0.004347826086956522,3.6507936507936507,27
14,11.516129032258064,11.0,33,7.399490145810879,93,0.2913165266106443,0.16433239962651727,11.516129032258064,51
15,2.0,2.0,2,0.0,3,0.0,0.0,2.0,3
18,5.258823529411765,4.0,16,3.7198084345723994,85,0.024608501118568233,0.015659955257270694,5.258823529411765,44
20,4.027777777777778,3.0,12,3.1887664718341457,72,0.0034482758620689655,0.0,4.027777777777778,48
21,1.435897435897436,1.0,5,0.8520832611550474,39,0.14285714285714285,0.07142857142857142,1.435897435897436,8
22,11.94059405940594,12.0,29,5.9662748548457225,101,0.008291873963515755,0.0041459369817578775,11.94059405940594,67
23,1.6666666666666667,1.0,3,1.1547005383792517,3,0.6,0.0,1.6666666666666667,5
24,9.234782608695653,8.0,27,5.316855743405693,115,0.3634651600753296,0.07627118644067797,9.234782608695653,30
25,15.263157894736842,13.0,44,8.937383269662691,95,0.13379310344827586,0.000689655172413793,15.263157894736842,46
26,3.56,3.0,14,2.68247566171171,75,0.0,0.0,3.56,26
27,10.436170212765957,9.0,34,6.664879078573476,94,0.0030581039755351682,0.0030581039755351682,10.436170212765957,46
28,5.4,4.0,22,4.0750534482458765,100,0.12962962962962962,0.016666666666666666,5.4,59
29,3.3333333333333335,2.0,11,2.74469184669852,21,0.0,0.0,3.3333333333333335,18
30,1.6666666666666667,1.0,3,0.8660254037844386,9,0.3333333333333333,0.06666666666666667,1.6666666666666667,10
31,11.088235294117647,10.0,28,6.683958839330978,102,0.08311229000884174,0.00618921308576481,11.088235294117647,21
32,10.345679012345679,10.0,35,7.453456402614763,81,0.0,0.0,10.345679012345679,58
33,45.776119402985074,50.0,122,28.520311134939533,134,0.09765242908379523,0.06635148353439843,45.776119402985074,97
34,1.4,1.0,3,0.6324555320336759,15,0.14285714285714285,0.23809523809523808,1.4,7
35,1.3076923076923077,1.0,2,0.48038446141526137,13,0.23529411764705882,0.058823529411764705,1.3076923076923077,7
36,3.4871794871794872,3.0,9,2.2227507243787024,39,0.014705882352941176,0.0,3.4871794871794872,31
37,15.676190476190476,15.0,40,9.44059894418296,105,0.023086269744835967,0.004860267314702308,15.676190476190476,63
38,5.818181818181818,5.0,14,3.2311285006263386,77,0.05133928571428571,0.0,5.818181818181818,60
39,1.5,1.0,3,0.8366600265340756,6,0.2222222222222222,0.2222222222222222,1.5,6
40,1.7333333333333334,1.0,4,0.9611501047232548,15,0.15384615384615385,0.07692307692307693,1.7333333333333334,6
41,1.25,1.0,2,0.5,4,0.0,0.0,1.25,3
42,10.965217391304348,10.0,32,7.5752719073225565,115,0.056304520222045996,0.03013481363996828,10.965217391304348,21
43,6.975,5.0,22,5.7213236496284186,80,0.0035842293906810036,0.0017921146953405018,6.975,50
44,1.6666666666666667,2.0,2,0.5163977794943222,6,0.4,0.2,1.6666666666666667,2
45,21.363636363636363,20.0,66,11.469084038524867,99,0.030732860520094562,0.00047281323877068556,21.363636363636363,58
46,14.275510204081632,12.0,59,9.212027785595048,98,0.0014295925661186562,0.002144388849177984,14.275510204081632,49
47,3.2531645569620253,3.0,13,2.5087965979747615,79,0.019455252918287938,0.011673151750972763,3.2531645569620253,32
49,6.723684210526316,5.5,20,4.892439566543536,76,0.0,0.0,6.723684210526316,44
51,1.0,1.0,1,0.0,2,0.0,0.0,1.0,2
52,13.263157894736842,12.0,37,7.234977872476844,95,0.002380952380952381,0.0015873015873015873,13.263157894736842,63
53,2.9,2.0,16,2.856933489865881,30,0.022988505747126436,0.034482758620689655,2.9,18
54,2.6451612903225805,2.0,10,2.283919367770455,62,0.0,0.0,2.6451612903225805,40
55,2.0,2.0,4,0.9733285267845753,20,0.275,0.4,2.0,9
58,1.0,1.0,1,0.0,10,0.1,0.1,1.0,4
60,2.0,2.0,3,0.816496580927726,7,0.07142857142857142,0.14285714285714285,2.0,6
61,1.5,1.5,2,0.5773502691896257,4,0.5,0.0,1.5,4
62,19.102803738317757,18.0,47,9.71473747151014,107,0.0812133072407045,0.02446183953033268,19.102803738317757,49
63,5.294117647058823,3.0,19,4.289587418865554,85,0.0044444444444444444,0.0,5.294117647058823,47
64,5.355555555555555,5.0,13,2.9691716058471243,90,0.01037344398340249,0.0,5.355555555555555,16
65,4.535211267605634,4.0,14,3.5084835385737034,71,0.006211180124223602,0.034161490683229816,4.535211267605634,45
66,1.0,1.0,1,0.0,7,0.0,0.5714285714285714,1.0,4
68,2.1363636363636362,2.0,6,1.4895015000377538,22,0.0,0.0,2.1363636363636362,16
69,2.1666666666666665,1.0,7,2.401388487243717,6,0.0,0.0,2.1666666666666665,10
70,11.23157894736842,10.0,34,6.720012398004881,95,0.0009372071227741331,0.0037488284910965324,11.23157894736842,53
72,1.75,1.0,4,1.5,4,0.0,0.0,1.75,6
73,1.5,1.0,3,0.7977240352174656,12,0.5,0.4444444444444444,1.5,4
74,10.225806451612904,8.0,47,7.822944280959786,93,0.3038906414300736,0.18506834910620398,10.225806451612904,53
75,7.09375,7.0,23,4.144947780764332,96,0.0,0.0,7.09375,65
76,2.111111111111111,1.0,7,2.0275875100994067,9,0.15789473684210525,0.2631578947368421,2.111111111111111,14
77,16.67676767676768,16.0,65,10.750252282590987,99,0.3343428225317989,0.14233797698364628,16.67676767676768,60
79,6.15625,5.0,20,4.0790301349837135,96,0.0,0.01015228426395939,6.15625,33
80,9.652631578947368,9.0,28,5.536663910374097,95,0.06870229007633588,0.0010905125408942203,9.652631578947368,23
81,1.6666666666666667,1.0,6,1.270977818604485,27,0.24444444444444444,0.24444444444444444,1.6666666666666667,12
83,7.785714285714286,8.0,16,4.272303514450679,98,0.027522935779816515,0.002621231979030144,7.785714285714286,60
84,3.3846153846153846,2.0,11,2.8442474557857285,13,0.06818181818181818,0.0,3.3846153846153846,14
85,11.304347826086957,10.0,44,7.598060959167541,92,0.0009615384615384616,0.0009615384615384616,11.304347826086957,112
87,12.207207207207206,9.0,48,9.517559959566716,111,0.042804428044280446,0.045018450184501846,12.207207207207206,41
88,2.0,1.0,4,1.7320508075688772,3,0.0,0.0,2.0,4
89,12.048543689320388,9.0,52,9.472745880948846,103,0.0056406124093473006,0.008863819500402902,12.048543689320388,47
90,3.435483870967742,3.0,8,2.085240621740154,62,0.009389671361502348,0.0,3.435483870967742,32
91,11.485436893203884,11.0,31,7.083347050971587,103,0.014370245139475908,0.032121724429416736,11.485436893203884,76
94,1.0,1.0,1,0.0,2,0.0,0.5,1.0,1
95,20.21551724137931,19.0,53,13.053605888284533,116,0.07334754797441365,0.023880597014925373,20.21551724137931,50
96,8.56989247311828,8.0,21,5.255220695035527,93,0.027603513174404015,0.0037641154328732747,8.56989247311828,61
97,6.1125,5.0,20,4.466453723118543,80,0.0,0.02044989775051125,6.1125,46
98,6.907407407407407,4.5,23,6.019680047031017,54,0.27882037533512066,0.21983914209115282,6.907407407407407,17
99,1.0,1.0,1,0.0,4,0.0,0.0,1.0,1
100,1.7333333333333334,1.0,5,1.2227992865708155,15,0.15384615384615385,0.0,1.7333333333333334,13
102,2.375,2.0,7,1.9518664423304308,24,0.7192982456140351,0.10526315789473684,2.375,7
103,2.0833333333333335,2.0,4,1.0836246694508316,12,0.12,0.08,2.0833333333333335,6
104,4.183333333333334,3.0,16,3.377350614777986,60,0.02390438247011952,0.00796812749003984,4.183333333333334,38
105,2.1666666666666665,1.0,6,2.0412414523193148,6,0.3076923076923077,0.07692307692307693,2.1666666666666665,8
106,6.966666666666667,5.0,22,4.75571802492371,90,0.0,0.0,6.966666666666667,64
108,4.120689655172414,3.0,14,2.6627883170268376,58,0.26359832635983266,0.012552301255230125,4.120689655172414,29
109,2.6333333333333333,1.5,9,2.413801313614937,30,0.0759493670886076,0.4050632911392405,2.6333333333333333,16
110,6.0777777777777775,6.0,18,3.8605692593505165,90,0.0,0.0,6.0777777777777775,53
111,7.123595505617978,6.0,21,4.70207938701568,89,0.0,0.0,7.123595505617978,63
112,3.076923076923077,2.0,8,1.9588527439290044,52,0.1375,0.0,3.076923076923077,34
115,1.9166666666666667,1.5,5,1.2401124093721456,12,0.2608695652173913,0.43478260869565216,1.9166666666666667,8
116,2.2,2.0,4,1.3038404810405297,5,0.0,0.0,2.2,5
117,2.4,2.0,4,1.140175425099138,5,0.0,0.0,2.4,5
